楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
いますぐ輪廻,MAXIMUM,17,COMPLETE,AA,9332174,0,4,4,0,0
L2 -Reminiscence- (SDVX ver.),EXHAUST,17.5,COMPLETE,AA+,9685064,0,1,1,0,0
お返事まだカナ？おじさん構文！,EXHAUST,15,COMPLETE,AAA+,9813407,0,1,1,0,0
サイエンス,MAXIMUM,17,COMPLETE,AA+,9556410,0,1,1,0,0
Synthesis.,EXHAUST,17,COMPLETE,AA+,9651216,0,1,1,0,0
snooze,MAXIMUM,17,COMPLETE,A+,9063492,0,1,1,0,0
Zany Arcadia "E",EXHAUST,17.5,COMPLETE,AA,9425456,0,1,1,0,0
ハートインワンダーランド,MAXIMUM,17.5,COMPLETE,AA+,9560301,0,1,1,0,0
Sunlit toybox,EXHAUST,16,COMPLETE,AAA,9788867,0,1,1,0,0
朱と碧のランページ(covered by 儒烏風亭らでん(ReGLOSS)),MAXIMUM,17,COMPLETE,AA,9396775,0,2,2,0,0
Shooting Star,MAXIMUM,17,COMPLETE,AAA,9712230,0,5,5,0,0
murmur twins (guitar pop ver.),MAXIMUM,17,COMPLETE,AA+,9612584,0,1,1,0,0
FRENZY HEART,EXHAUST,17,COMPLETE,AA+,9540110,0,1,1,0,0
HOLOGRAPHY,MAXIMUM,18.3,PLAYED,B,8379781,0,1,0,0,0
Like the Starlight,EXHAUST,16,COMPLETE,AAA,9723374,0,1,1,0,0
Like the Starlight,MAXIMUM,18.2,PLAYED,A+,9143950,0,3,0,0,0
オーバーライド,MAXIMUM,18.1,PLAYED,A+,9226862,0,2,0,0,0
右肩の蝶 (空澄セナ Cover),MAXIMUM,17,COMPLETE,AA,9494981,0,1,1,0,0
ØVER《Δ》,EXHAUST,17.5,PLAYED,D,5605656,0,1,0,0,0
カミツレの成り方,EXHAUST,16,PLAYED,AAA,9729140,0,3,0,0,0
Grαnd Arχitect,EXHAUST,16,PLAYED,AA+,9578947,0,1,0,0,0
エクスプロウル,MAXIMUM,18.5,PLAYED,B,8588054,0,2,0,0,0
Windy Fairy,MAXIMUM,17,COMPLETE,AA,9369390,0,1,1,0,0
Ö<3rf10₩,EXHAUST,17,COMPLETE,AA+,9660759,0,2,2,0,0
Crossfade,MAXIMUM,17,COMPLETE,AAA,9708619,0,3,3,0,0
What's up? Pop!,EXHAUST,17.5,COMPLETE,AA,9426229,0,1,1,0,0
回想音楽 - Thank you for your playing music,MAXIMUM,17,COMPLETE,AA+,9623366,0,1,1,0,0
いいわけバニー,MAXIMUM,17.5,PLAYED,AA,9352636,0,1,0,0,0
ロマンシングエスケープ,MAXIMUM,17,COMPLETE,AA+,9501965,0,1,1,0,0
C18H27NO3(ryhki remix),MAXIMUM,18.2,COMPLETE,A+,9262152,0,1,1,0,0
Profession (αirlemoneX "Mechanical Engineering" Remix),MAXIMUM,17,COMPLETE,AA+,9650410,0,1,1,0,0
強風オールバック,MAXIMUM,17.5,COMPLETE,A+,9259938,0,1,1,0,0
テトリス,MAXIMUM,18.2,PLAYED,A+,9132878,0,7,0,0,0
人マニア,MAXIMUM,17.5,PLAYED,A+,9237777,0,1,0,0,0
B.B.K.K.B.K.K. (影虎。 & siqlo PsyRemix),MAXIMUM,17,COMPLETE,AA,9450431,0,4,4,0,0
I'm Your Treasure Box ＊あなたは マリンせんちょうを たからばこからみつけた。,MAXIMUM,17,COMPLETE,AA,9336638,0,1,1,0,0
COSMIC V3LOCITY,EXHAUST,17,COMPLETE,AA,9312169,0,1,1,0,0
SOLAR ECLIPSE,EXHAUST,17,COMPLETE,AA,9452770,0,1,1,0,0
Imitated Visions,EXHAUST,16,PLAYED,AAA,9749114,0,2,0,0,0
こどもかくしのアンダーランド,EXHAUST,16,PLAYED,AA+,9659932,0,1,0,0,0
憧憬のファンファーレ,EXHAUST,16,PLAYED,AA+,9578532,0,1,0,0,0
Voice 2 Voice n Voice,MAXIMUM,17,COMPLETE,AA,9360086,0,1,1,0,0
Growing Up／アニメ「この素晴らしい世界に祝福を！３」より,MAXIMUM,17,COMPLETE,AA+,9579630,0,1,1,0,0
GIGI BABA(brz_style),MAXIMUM,18.1,COMPLETE,AA,9387500,0,2,1,0,0
¡¡Fanta∽cramble!!,MAXIMUM,17,COMPLETE,AA,9482084,0,1,1,0,0
残像ニ繋ガレタ追憶ノHIDEAWAY,MAXIMUM,17,COMPLETE,AA+,9670454,0,3,3,0,0
黒紅掬い,MAXIMUM,17,COMPLETE,AA+,9691011,0,1,1,0,0
邪魔をしないで,MAXIMUM,17,COMPLETE,AAA,9780588,0,1,1,0,0
Hopscotch,MAXIMUM,17.5,COMPLETE,AA,9434523,0,1,1,0,0
月明りの旅人たち,MAXIMUM,17,COMPLETE,AA,9315684,0,1,1,0,0
WobbleTangleFestival (影虎。 & ikaruga_nex's HDM RMX),MAXIMUM,17,COMPLETE,AA,9480214,0,2,2,0,0
七七七夕,MAXIMUM,18.3,PLAYED,A+,9186252,0,2,0,0,0
You Only Live Twice,MAXIMUM,17,COMPLETE,AA+,9546703,0,2,2,0,0
曇天羊,MAXIMUM,17,COMPLETE,AA+,9581225,0,1,1,0,0
Gate of Atlantis (Vocal ∞ Mix),MAXIMUM,17,COMPLETE,AA+,9636600,0,1,1,0,0
カミサマ・ネコサマ,MAXIMUM,17,COMPLETE,AA+,9602085,0,1,1,0,0
もぐもぐYUMMY！,MAXIMUM,17,COMPLETE,AA+,9668674,0,1,1,0,0
ちょえちょえまぎか,MAXIMUM,17,COMPLETE,AA,9457286,0,4,4,0,0
Virtual to LIVE,MAXIMUM,17,COMPLETE,AAA,9759713,0,6,6,0,0
Circuit Surfer,EXHAUST,17,COMPLETE,AA+,9564523,0,2,2,0,0
ポラリスノウタ,MAXIMUM,17,COMPLETE,AA,9498922,0,1,1,0,0
ポッピンキャンディ☆フィーバー！,MAXIMUM,17,COMPLETE,AA,9348314,0,1,1,0,0
ドリームエンド・サバイバー(Hidra-Xjeil Remix),MAXIMUM,18.2,COMPLETE,AA,9368465,0,1,1,0,0
Lovesick Lovetune(brz_style),MAXIMUM,17,COMPLETE,AA+,9637223,0,10,10,0,0
おにけもだんす,MAXIMUM,17,COMPLETE,AAA+,9821320,0,1,1,0,0
朧,MAXIMUM,17,COMPLETE,AAA,9751230,0,11,11,0,0
Say!ファンファーレ!,MAXIMUM,17,COMPLETE,AA,9427116,0,1,1,0,0
QQ,EXHAUST,17,COMPLETE,AA+,9559765,0,2,2,0,0
Stylus,EXHAUST,16,COMPLETE,AAA,9769076,0,2,2,0,0
Stylus,MAXIMUM,18.4,PLAYED,A+,9155844,0,19,0,0,0
Undead Raving Scare,EXHAUST,17.5,PLAYED,AA,9350495,0,2,0,0,0
Enter The Rave,EXHAUST,16,PLAYED,AAA,9784272,0,3,0,0,0
SHARK IMPACT,EXHAUST,16,PLAYED,AAA+,9824455,0,5,0,0,0
十三不塔,EXHAUST,16,PLAYED,AAA+,9855718,0,5,0,0,0
リュミレイラ,EXHAUST,16,PLAYED,AAA+,9874167,0,2,0,0,0
KAMAITACHI,EXHAUST,16,COMPLETE,AAA,9718089,0,1,1,0,0
Follow Tomorrow,MAXIMUM,17,COMPLETE,A+,9286206,0,1,1,0,0
One More Lovely,EXHAUST,17,COMPLETE,AA+,9575869,0,2,2,0,0
Voice 7 Voice!!!!!!!,EXHAUST,16,COMPLETE,AA+,9576951,0,1,1,0,0
Demetel (Erixa ”MYTH” Remix),MAXIMUM,17,COMPLETE,AA,9396815,0,1,1,0,0
Dawn of Asia(Alkome Remix),MAXIMUM,17,COMPLETE,AAA,9793123,0,12,12,0,0
ませまてぃっく♡ま＋ま＝まじっく！　～徹夜の追込みエナジーまっくす！～,EXHAUST,16,COMPLETE,AAA,9717073,0,1,1,0,0
ΣMERGENCY CODΣ,EXHAUST,16,PLAYED,AAA+,9826535,0,1,0,0,0
パーフェクトイーター,MAXIMUM,18.5,PLAYED,B,7946695,0,1,0,0,0
累乗のカルマ,EXHAUST,16,COMPLETE,AA+,9680365,0,1,1,0,0
おちゃめ機能,MAXIMUM,17,COMPLETE,AA+,9677518,0,3,3,0,0
Absurd Gaff (Metallize Remix),EXHAUST,17,COMPLETE,AA+,9592735,0,2,2,0,0
うぇるかむ -||祭みっくす||-,EXHAUST,16,COMPLETE,AA+,9698509,0,1,1,0,0
Shera,MAXIMUM,18.0,COMPLETE,AA,9369724,0,1,1,0,0
The EXworld of sound,EXHAUST,16,COMPLETE,AA+,9662420,0,1,1,0,0
トーキョーサマーナイト（華金Remix）,MAXIMUM,17,COMPLETE,AA+,9655948,0,1,1,0,0
凛として咲く花の如く,MAXIMUM,17,COMPLETE,AA,9483888,0,1,1,0,0
Second Game,MAXIMUM,17,COMPLETE,AAA,9759068,0,8,8,0,0
PRIDE of the FIREBALL,MAXIMUM,17,COMPLETE,AA+,9690307,0,1,1,0,0
Realize／アニメ「Re:ゼロから始める異世界生活」より,EXHAUST,14,ULTIMATE CHAIN,S,9943438,0,1,1,1,0
Realize／アニメ「Re:ゼロから始める異世界生活」より,MAXIMUM,17,COMPLETE,AA,9439890,0,3,3,0,0
Redo／アニメ「Re:ゼロから始める異世界生活」より,MAXIMUM,17,COMPLETE,AA,9455351,0,1,1,0,0
For.*tune,MAXIMUM,17,COMPLETE,AA,9344039,0,1,1,0,0
マツヨイナイトバグ,EXHAUST,16,COMPLETE,AAA+,9822812,0,1,1,0,0
Lost Emotion feat. nomico,MAXIMUM,17,COMPLETE,AA+,9515669,0,2,2,0,0
アルファ・スカイ,MAXIMUM,17,COMPLETE,AA,9336043,0,1,1,0,0
いでぃおで結構！,MAXIMUM,17,COMPLETE,AA+,9643458,0,1,1,0,0
ENERGY SYNERGY MATRIX,EXHAUST,16,COMPLETE,S,9906994,0,5,5,0,0
ENERGY SYNERGY MATRIX,MAXIMUM,18.5,COMPLETE,A+,9210110,0,5,1,0,0
WWW,MAXIMUM,17,COMPLETE,AAA+,9849537,0,8,8,0,0
Distorted Floor -Boosted-,EXHAUST,16,COMPLETE,AAA,9738181,0,1,1,0,0
Distorted Floor -Boosted-,MAXIMUM,18.0,COMPLETE,AA,9318857,0,1,1,0,0
ヒバナ (Reloaded),MAXIMUM,17,COMPLETE,AA+,9535506,0,5,5,0,0
Blossom,EXHAUST,16,COMPLETE,AAA+,9828747,0,2,2,0,0
Blossom,MAXIMUM,18.0,PLAYED,A+,9045256,0,1,0,0,0
Aerial Skydive,MAXIMUM,17,COMPLETE,AA,9396204,0,1,1,0,0
quaver♪,EXHAUST,16,COMPLETE,AAA+,9872483,0,2,2,0,0
赫焉のヴァルキュリア -Ragnarøk-,EXHAUST,17,COMPLETE,AA+,9502237,0,1,1,0,0
SuddeИDeath,ADVANCED,15,COMPLETE,AAA,9798570,0,1,1,0,0
Brave Power Leader 《 = Voltage = 》,EXHAUST,16,COMPLETE,AAA,9739368,0,1,1,0,0
HALO,EXHAUST,17,COMPLETE,AA,9478123,0,3,3,0,0
零天視,EXHAUST,16,COMPLETE,AA+,9670385,0,1,1,0,0
アガット,EXHAUST,16,COMPLETE,AA+,9585062,0,1,1,0,0
[E],MAXIMUM,17,COMPLETE,AA,9412706,0,2,2,0,0
フォニイ,MAXIMUM,17,COMPLETE,AAA,9737521,0,23,17,0,0
Glory of Fighters,EXHAUST,17.5,COMPLETE,A,8983208,0,1,1,0,0
All We Need is HAPPY END!!!,EXHAUST,17,COMPLETE,AA,9305745,0,1,1,0,0
禊,EXHAUST,16,COMPLETE,AA+,9696452,0,6,6,0,0
禊,MAXIMUM,18.6,PLAYED,A,8746048,0,7,0,0,0
trea→journey,EXHAUST,16,COMPLETE,AA,9341736,0,1,1,0,0
Petit espoir,EXHAUST,16,COMPLETE,AA+,9653725,0,1,1,0,0
Initiating League,EXHAUST,16,COMPLETE,AAA,9743589,0,2,2,0,0
Initiating League,MAXIMUM,18.6,PLAYED,B,8688078,0,1,0,0,0
Ice Fortress,EXHAUST,15,ULTIMATE CHAIN,AAA+,9899022,0,1,1,1,0
シル・ヴ・プレジデント,MAXIMUM,17.5,COMPLETE,AA+,9641162,0,23,22,0,0
ENDGAME,EXHAUST,16,COMPLETE,AAA+,9802036,0,7,7,0,0
ИADIR,EXHAUST,16,COMPLETE,AAA,9735984,0,1,1,0,0
Chat perché,EXHAUST,16,COMPLETE,AAA+,9830268,0,1,1,0,0
グッバイ宣言,MAXIMUM,17,COMPLETE,AA,9412643,0,3,3,0,0
透明声彩,EXHAUST,14,COMPLETE,AAA+,9844389,0,1,1,0,0
Never Ending Future,EXHAUST,16,COMPLETE,AA+,9562436,0,1,1,0,0
Re:call,MAXIMUM,17,COMPLETE,AA+,9540740,0,1,1,0,0
[ ]DENTITY,EXHAUST,17.5,COMPLETE,AA+,9692656,0,1,1,0,0
インドア系ならトラックメイカー,MAXIMUM,17.5,COMPLETE,AA,9321223,0,3,1,0,0
ヴァンパイア,MAXIMUM,17,COMPLETE,AA+,9619326,0,4,4,0,0
Imperator,EXHAUST,16,COMPLETE,AA+,9688524,0,2,2,0,0
SHARK ATTACK,EXHAUST,16,COMPLETE,AAA,9713644,0,4,4,0,0
Re:Rose Gun Shoooot!,MAXIMUM,17,COMPLETE,AA+,9672421,0,2,2,0,0
MEGALOVANIA,EXHAUST,16,COMPLETE,AAA+,9858156,0,15,14,0,0
涙の女神と無形のエトワル,EXHAUST,16,COMPLETE,AAA,9727272,0,1,1,0,0
赫焉,EXHAUST,17.5,PLAYED,D,5567765,0,1,0,0,0
光風霽月,EXHAUST,16,ULTIMATE CHAIN,AAA+,9825925,0,13,11,2,0
光風霽月,MAXIMUM,18.8,PLAYED,A,8788918,0,2,0,0,0
Lost Parliament,EXHAUST,16,COMPLETE,AAA,9722222,0,4,2,0,0
Bonetrousle,EXHAUST,13,COMPLETE,AAA+,9888565,0,1,1,0,0
極夜、暁を望んで,EXHAUST,16,PLAYED,D,1286307,0,1,0,0,0
Across the Starlight,EXHAUST,16,COMPLETE,AAA,9707792,0,1,1,0,0
NOT YOUR IDOL,ADVANCED,13,COMPLETE,AAA+,9829482,0,4,4,0,0
NOT YOUR IDOL,EXHAUST,16,COMPLETE,AAA,9756795,0,18,18,0,0
NOT YOUR IDOL,MAXIMUM,18.5,COMPLETE,AA,9377815,0,6,6,0,0
PHOTON BLAXT,EXHAUST,15,COMPLETE,AA,9446190,0,4,4,0,0
メテオライツ・プレリュード,MAXIMUM,17,COMPLETE,AA+,9675553,0,1,1,0,0
ピアノ独奏無言歌 "灰燼",EXHAUST,17.5,COMPLETE,A+,9292763,0,5,5,0,0
ステラレギア,EXHAUST,14,COMPLETE,AA+,9508928,0,1,1,0,0
ステラレギア,MAXIMUM,17,COMPLETE,AA,9491858,0,1,1,0,0
ROZELCIA,EXHAUST,16,COMPLETE,AAA+,9827001,0,8,8,0,0
SHOCKER BREAKER,EXHAUST,16,COMPLETE,AA,9412617,0,1,1,0,0
c2Theater,MAXIMUM,18.3,PLAYED,A+,9272809,0,2,0,0,0
メンタンピンドラドラ,EXHAUST,14,COMPLETE,AA+,9531085,0,2,2,0,0
メンタンピンドラドラ,MAXIMUM,17,COMPLETE,AAA+,9835164,0,31,30,0,0
神っぽいな,ADVANCED,10,COMPLETE,AA,9439918,0,1,1,0,0
神っぽいな,EXHAUST,14,COMPLETE,AAA+,9829738,0,6,6,0,0
神っぽいな,MAXIMUM,17,COMPLETE,AAA,9711093,0,9,9,0,0
サクラノソバニ！,MAXIMUM,17,COMPLETE,AA,9452554,0,1,1,0,0
DATAERR0R,ADVANCED,13,COMPLETE,AA+,9505912,0,1,1,0,0
DATAERR0R,EXHAUST,16,COMPLETE,AA+,9527393,0,1,1,0,0
DATAERR0R,MAXIMUM,18.0,COMPLETE,AA,9346246,0,1,1,0,0
Decadence Mission,MAXIMUM,18.0,COMPLETE,AA+,9522911,0,1,1,0,0
爆烈歓迎♪エクストリーム飲茶旋風脚ッ!!,EXHAUST,16,COMPLETE,AA,9398414,0,1,1,0,0
勇者の卒業式,EXHAUST,14,COMPLETE,AAA,9743852,0,1,1,0,0
勇者の卒業式,MAXIMUM,17,COMPLETE,AA+,9529262,0,1,1,0,0
ユキバレ＊ぱれいど,EXHAUST,14,COMPLETE,A+,9022346,0,1,1,0,0
WICKeD CRφSS,MAXIMUM,17,COMPLETE,AA,9355254,0,1,1,0,0
Crystalia,EXHAUST,16,COMPLETE,AA+,9522580,0,1,1,0,0
SPECIAL SUMMER CAMPAIGN!,EXHAUST,16,COMPLETE,AA+,9560104,0,2,2,0,0
Flip Flap,MAXIMUM,17,COMPLETE,AA,9434582,0,3,3,0,0
↑↑↓↓←→←→BA,MAXIMUM,17,COMPLETE,A+,9197716,0,1,1,0,0
2 Beasts Unchained,EXHAUST,17,COMPLETE,AA+,9607899,0,2,2,0,0
ピアノ協奏曲第１番”蠍火”,ADVANCED,14,COMPLETE,A,8710268,0,1,1,0,0
ピアノ協奏曲第１番”蠍火”,EXHAUST,17.5,COMPLETE,A+,9232343,0,7,7,0,0
Fegrix,EXHAUST,16,COMPLETE,AA,9487822,0,1,1,0,0
ゔぉるみっくす!!!!,EXHAUST,16,COMPLETE,AA+,9529505,0,1,1,0,0
sparky spark,MAXIMUM,17,COMPLETE,AA,9415461,0,3,3,0,0
Test Flight,EXHAUST,15,COMPLETE,AAA+,9839726,0,2,1,0,0
Foolish Again,MAXIMUM,17,COMPLETE,A+,9259754,0,1,1,0,0
PLANISPHERE,MAXIMUM,17,COMPLETE,AA+,9540106,0,2,2,0,0
Unleashed Redness,EXHAUST,16,COMPLETE,AA+,9624505,0,1,1,0,0
party:stage,ADVANCED,12,PLAYED,AA,9489704,0,1,0,0,0
キカイノミルユメ,EXHAUST,13,COMPLETE,AA+,9516880,0,1,1,0,0
キカイノミルユメ,MAXIMUM,16,COMPLETE,AA+,9579517,0,1,1,0,0
～仔羊のナヴァラン・クリシェを添えて～,EXHAUST,16,COMPLETE,AA+,9579937,0,1,1,0,0
Refrain,EXHAUST,16,COMPLETE,AAA,9729354,0,2,2,0,0
Star☆Beat,EXHAUST,16,COMPLETE,AAA,9745222,0,3,3,0,0
Star☆Beat,MAXIMUM,18.1,COMPLETE,AA,9447200,0,2,1,0,0
スノウイコン,MAXIMUM,17,COMPLETE,AA+,9698275,0,1,1,0,0
みたらしプラトニック (feat. nicamoq),EXHAUST,14,COMPLETE,A+,9147321,0,1,1,0,0
みたらしプラトニック (feat. nicamoq),MAXIMUM,17,COMPLETE,AA,9448336,0,1,1,0,0
藍の華,EXHAUST,15,COMPLETE,AA,9483161,0,1,1,0,0
ヒトガタ,ADVANCED,10,COMPLETE,AA+,9522854,0,1,1,0,0
ヒトガタ,EXHAUST,14,COMPLETE,AA+,9661746,0,2,1,0,0
ヒトガタ,MAXIMUM,17,COMPLETE,AA,9395072,0,9,6,0,0
Mr.VIRTUALIZER,MAXIMUM,16,COMPLETE,AA+,9594132,0,2,2,0,0
天弓天華オトハナビ,EXHAUST,16,COMPLETE,AAA,9794429,0,1,1,0,0
LUCKY CAT,EXHAUST,14,COMPLETE,AA,9318897,0,2,2,0,0
LUCKY CAT,MAXIMUM,17,COMPLETE,AAA,9725106,0,2,2,0,0
Going My Future!,EXHAUST,16,COMPLETE,AAA+,9859211,0,4,4,0,0
フェアリーテイル・ラヴァーズ,MAXIMUM,17,COMPLETE,AA+,9567387,0,1,1,0,0
PRESERVED VAMPIRE,MAXIMUM,17,COMPLETE,AA,9486735,0,1,1,0,0
Love Love Scarlet,MAXIMUM,17,COMPLETE,AA,9409427,0,1,1,0,0
XXanadu#climaXX,EXHAUST,16,COMPLETE,AA,9462365,0,1,1,0,0
Bigbang Faker,EXHAUST,16,COMPLETE,AA+,9520295,0,1,1,0,0
Bigbang Faker,MAXIMUM,18.0,COMPLETE,AA,9352678,0,1,1,0,0
Triple Cross,EXHAUST,16,COMPLETE,AAA+,9829580,0,8,8,0,0
Triple Cross,MAXIMUM,18.1,PLAYED,A,8711669,0,1,0,0,0
STEEL NEEDLE,EXHAUST,16,COMPLETE,AAA,9711652,0,1,1,0,0
I Left for my Right,MAXIMUM,17,COMPLETE,AA+,9563225,0,1,1,0,0
The King Of Red,EXHAUST,16,COMPLETE,AAA,9758389,0,4,4,0,0
The Clown of 24stairs,EXHAUST,17,COMPLETE,AA,9469964,0,2,2,0,0
黎明の情,MAXIMUM,17,COMPLETE,AA+,9625071,0,1,1,0,0
Empty Backdoor,ADVANCED,11,COMPLETE,AA,9400665,0,1,1,0,0
Empty Backdoor,MAXIMUM,17.5,COMPLETE,AA,9392234,0,1,1,0,0
驪駒早鬼は馬並み☆プロテイン,ADVANCED,11,COMPLETE,A+,9139733,0,1,1,0,0
BEAT MAGIC,MAXIMUM,16,COMPLETE,AA,9303935,0,1,1,0,0
End of Guilty,EXHAUST,16,COMPLETE,AA+,9574982,0,1,1,0,0
charm♡you,MAXIMUM,17,COMPLETE,AA+,9575596,0,1,1,0,0
ユメブキ,EXHAUST,16,COMPLETE,AA+,9691895,0,1,1,0,0
ユメブキ,MAXIMUM,18.0,PLAYED,B,8683417,0,1,0,0,0
スーパー戦湯ババンバーン,MAXIMUM,17,COMPLETE,AA+,9623222,0,1,1,0,0
MOVE! (We Keep It Movin'),MAXIMUM,17,COMPLETE,A+,9016780,0,1,1,0,0
MA・TSU・RI,MAXIMUM,17,COMPLETE,AA+,9693548,0,1,1,0,0
Pure Ruby,EXHAUST,15,COMPLETE,A+,9291163,0,1,1,0,0
Continuous Moment,EXHAUST,15,COMPLETE,AAA,9755700,0,8,8,0,0
Continuous Moment,MAXIMUM,17.5,COMPLETE,AAA,9700474,0,20,19,0,0
Chakra,EXHAUST,14,COMPLETE,AA,9312039,0,2,2,0,0
Chakra,MAXIMUM,17,COMPLETE,AAA,9747566,0,8,8,0,0
G4ME ØVEЯ,EXHAUST,16,COMPLETE,AA+,9558922,0,1,1,0,0
G4ME ØVEЯ,MAXIMUM,18.2,COMPLETE,AA,9317316,0,2,1,0,0
2094,ADVANCED,12,COMPLETE,AAA+,9826517,0,1,1,0,0
2094,EXHAUST,14,COMPLETE,AA+,9528571,0,5,5,0,0
2094,MAXIMUM,17.5,COMPLETE,AA,9453170,0,1,1,0,0
Cappuccino Hearts,EXHAUST,16,COMPLETE,AA+,9652029,0,1,1,0,0
Xymatic Scope,MAXIMUM,17,COMPLETE,AA,9316715,0,1,1,0,0
WILD FIRE,EXHAUST,14,COMPLETE,AA,9455598,0,1,1,0,0
Over the Border,EXHAUST,13,COMPLETE,A+,9199203,0,1,1,0,0
